RANK,MARK,ATHLETE/TEAM,GRADE,MEET DATEPLACE
498,133-2,MATTHEW REILLYMinersville Area,2020,"Minersville, Weatherly @ Jim Thorpe2ndApr 24, 2019"
498,133-2,MATTHEW HOFFMANExeter Township,2021,"Oxenreider Relays7thMar 23, 2019"
498,133-2,KYLE SCHMIDTSouderton Area,2019,"SOL Continental Conference Championships7thMay 10, 2019 - May 11, 2019"
498,133-2,JOHN CAREYGovernor Mifflin,2020,"2019 BCIAA Firing Championship13thMay 9, 2019 - May 11, 2019"
502,133-1,TYLER HAVRILAKSpring Ford,2019,"Great Valley R. Joseph Kellerman Invitational3rdApr 20, 2019"
502,133-1,JASON VILLEGASBerlin Brothersvalley,2020,"Bedford Giant Eagle Invitational8thApr 6, 2019"
504,132-11,GARRETT ARNOLDCentral Columbia,2020,"Lewisburg vs Central Columbia3rdApr 2, 2019"
504,132-11,HOLDEN GERNERStroudsburg,2019,"Stroudsburg @ William Allen3rdApr 10, 2019"
504,132-11,CALEB LUTZSmethport Area,2019,"Coudersport Sports Booster Invitational5thMay 3, 2019"
507,132-10,JOE CASSIZZILaSalle College High School,2019,"PCL Boys Meet #1 - LaSalle3rdApr 1, 2019"
507,132-10,DANNY DLUGOSGreensburg Central Catholic,2022,"Pine-Richland Invitational18thMay 3, 2019"
509,132-9,CHRISTIAN ROSALESAmbler Olympic Club,,"GA 2019 All-Comers Track & Field Meet Series #33rdJul 2, 2019"
509,132-9,IJAE KARLINSEYPenns Manor,2021,"Heritage Conference Championships6thMay 7, 2019"
509,132-9,BENJAMIN GEARYSomerset Area,2019,"PIAA District 6 AAA Championships8thMay 16, 2019"
512,132-8,JORDAN BLACKBURNBethlehem-Center,2019,"Cal Track Carnival2ndApr 12, 2019"
512,132-8,OLATIDE ABINUSAWAGermantown Academy,2019,"PA Independent School Athletic Association (PAISAA) Championship5thMay 18, 2019"
512,132-8,JEFFREY HICKLINCentral Bucks South,2020,"SOL Continental Conference Championships8thMay 10, 2019 - May 11, 2019"
515,132-7,MAX YONKOWestmont Hilltop,2020,"Bedford, Penn Cambria, Westmont-Hilltop5thMay 1, 2019"
515,132-7,DAVID IFEDIGBOMoon Area,2021,"MAC Meet8thApr 24, 2019"
517,132-6.5,FOSTER COLE-WETMOREFranklin Regional,2020,"Norwin Last Chance Meet7thMay 7, 2019"
518,132-5,WILLIAM GERAGHTYPleasant Valley High School,2019,"Red & Black Invitational19thApr 18, 2019"
519,132-3,GARRETT LONGENECKERCocalico,2019,"Blue Streak Relays14thMay 4, 2019"
520,132-2,AUSTIN NICEDock Mennonite Academy,2019,"Dock Mennonite Academy-Church Farm School-Jenkintown4thApr 30, 2019"
520,132-2,LOGAN USNEREphrata,2019,"Blue Streak Relays15thMay 4, 2019"
522,132-1.5,ELIJAH WHITERiver City Elite TC,,"Three Rivers Association Championships3rdJun 22, 2019 - Jun 23, 2019"
523,132-0,MADDEN MCMILLENKarns City,2019,"Redbank Valley vs. Karns City3rdMay 2, 2019"
523,132-0,BRYCE BENDERCentral York,2019,"YAIAA Track and Field League Championships10thMay 10, 2019"
525,131-11,STEPHEN ALBRIGHTPenn Manor,2019,"Blue Streak Relays16thMay 4, 2019"
526,131-9,CORAHN MILLSRidley,2019,"Strath Haven vs Upper Darby vs Ridley1stApr 29, 2019"
526,131-9,JUSTIN SANTIAGOWhitehall,2019,"Allentown CC @ Whitehall2ndApr 4, 2019"
526,131-9,DALTON KINTZELPine Grove Area,2020,"Pine Grove @ Tamaqua3rdMar 27, 2019"
526,131-9,JORDAN HEISEYNorthern,2021,"Northern Small School Invitational7thMar 28, 2019"
526,131-9,JACOB BURKEYGreater Latrobe,2019,"Pine-Richland Invitational21stMay 3, 2019"
531,131-8,RYAN JOCHIMSShady Side Academy,2019,"Pine-Richland Invitational22ndMay 3, 2019"
532,131-7,JERRY CURRANInterboro,2020,"Boys Delco Championship4thMay 2, 2019 - May 4, 2019"
532,131-7,THOMAS OBERHOLZERGreencastle-Antrim,2020,"Mid Penn Championship22ndMay 11, 2019"
532,131-7,LANDON LARIMOREKarns City,2019,"Butler Invitational - 55th Annual25thApr 18, 2019"
535,131-6,MD CHOWDHURYNorth Penn,2020,"Central Bucks West Relays6thApr 20, 2019"
535,131-6,EDWIN RAMOSMuhlenberg,2019,"2019 BCIAA Firing Championship14thMay 9, 2019 - May 11, 2019"
537,131-5,JACOB ZEINERWhitehall,2019,"Whitehall @ Nazareth Area5thApr 23, 2019"
537,131-5,DANE ZIMMERMANUpper Dauphin HS,2019,"Tri-Valley League Championships6thMay 8, 2019"
537,131-5,IAN SITZLERCathedral Prep,2019,"15th Annual South Hills Classic12thApr 6, 2019"
537,131-5,TUCKER ROUSHShikellamy,2019,"PIAA District 4 AA-AAA Championship12thMay 16, 2019 - May 18, 2019"
541,131-4,ANDREW PAGECoudersport,2021,"Coudersport Sports Booster Invitational6thMay 3, 2019"
542,131-3,JOHN DENTPerkiomen School,2019,"Sterling Hoffman Track & Field Invitational3rdApr 12, 2019"
543,131-2,JETT ZANDERAbington,2020,"SOL American Conference Championships4thMay 10, 2019 - May 11, 2019"
543,131-2,JACK MILLERSaint Joseph's Prep,2019,"Neshaminy Invitational5thMay 4, 2019"
543,131-2,CALLEN HERBShamokin Area,2020,"Southern Columbia - Shamokin - Shikellamy TriMeet7thMar 28, 2019"
543,131-2,JOSIAH CHAPMANSpring Ford,2019,"Pioneer Athletic Conference Championship10thMay 10, 2019 - May 11, 2019"
543,131-2,JASON CHEDESTERLampeter Strasburg,2020,"17th Annual Black Knight Invitational13thApr 13, 2019"
543,131-2,MATT SOLOMONBishop McDevitt,2019,"31st New Balance Pan-Ram Invitational16thApr 13, 2019"
549,131-1,JONATHON HANNONCentral Bucks West,2020,"Knights Invitational4thApr 4, 2019"
549,131-1,DEREK ISHMANPunxsutawney Area,2020,"PIAA District 9 AAA and AA Championship4thMay 17, 2019"
RANK,MARK,ATHLETE/TEAM,GRADE,MEET DATEPLACE
551,131-0,JESSE BURGESSCumberland Valley,2020,"Carlisle vs Cumberland Valley5thApr 23, 2019"
552,130-11,ANTHONY BAILEYSRedbank Valley,2020,"Redbank Valley vs. Keystone2ndMar 27, 2019"
553,130-10,ZACH MORROPen Argyl Area,2021,"Pen Argyl @ Palisades1stApr 9, 2019"
554,130-9,TAD ZIEGLERWest Perry,2020,"PECO Track and Field Meet7thMay 6, 2019"
554,130-9,ARCHER JEWELLBellefonte Area,2021,"Altoona Mt. Lion Track & Field Classic (Large Schools) AAA9thMay 3, 2019"
554,130-9,THOMAS PAGLIOYork County School of Technology,2019,"YAIAA Track and Field League Championships12thMay 10, 2019"
554,130-9,JACOB DICKINSONScranton Preparatory School,2013,"Jim Taylor High School Classic (formerly Susq.HS Classic)13thApr 13, 2019"
558,130-8,MATTHEW WILMERWest Chester East,2020,"West Chester East vs. Avon Grove3rdApr 29, 2019"
558,130-8,CHASE BRANDESNazareth Area,2019,"Allentown Central Catholic @ Nazareth4thApr 1, 2019"
558,130-8,HUNTER MOCKMarion Center Area,2021,"Indiana County Track and Field Championships4thApr 27, 2019"
558,130-8,KOLT BYERSBermudian Springs,2020,"Vertical Adventures Decathlon & Heptathlon Meet4thJun 22, 2019 - Jun 23, 2019"
562,130-7,CONNOR PATANIAPhoenixville Area,2019,"Pioneer Athletic Conference Championship11thMay 10, 2019 - May 11, 2019"
562,130-7,IAN ACHTERBERGSusquehannock,2020,"YAIAA Track and Field League Championships14thMay 10, 2019"
564,130-5,NATHAN SCHELESSINGERPenn Trafford,2022,"Norwin 9th and 10th Invitational4thApr 25, 2019"
564,130-5,BRIAR RIEGELNativity BVM,2020,"Schuylkill League Track and Field Championships16thMay 7, 2019 - May 8, 2019"
566,130-4,OWEN ZECHMANMidd-West High School,2019,"Montoursville vs. Midd-West3rdApr 9, 2019"
567,130-3,COLIN RUPERTMartinsburg Central High School,2020,"Mountain League Championships4thMay 7, 2019"
567,130-3,IAN LISOWSKINorth Penn - Mansfield,2019,"Molly Dry Memorial Invitational6thApr 12, 2019"
569,130-2,STANLEY HAMILTONState College Area High School,2019,"New Balance Nationals Outdoor9thJun 13, 2019 - Jun 16, 2019"
569,130-2,LOGAN PARKERPlum,2021,"TSTCA Outdoor Championship13thApr 13, 2019"
569,130-2,WILL HALFERTYExeter Township,2020,"2019 BCIAA Firing Championship15thMay 9, 2019 - May 11, 2019"
572,130-1,HAYDEN DEBERRYMilton Area,2019,"Milton/Midd-West/Central Columbia4thApr 30, 2019"
572,130-1,KAMERON BAYMENDallastown,2019,"Ray Geesey Track and Field Invitational5thApr 26, 2019"
574,130-0,STEVE RECCHIOBethlehem Catholic,2022,"Whitehall vs Bethlehem Catholic2ndApr 11, 2019"
574,130-0,TRISTAN BYRONNorthern Potter,2019,"North Tier League Invitational3rdMay 10, 2019"
574,130-0,TYLER WIESMANCathedral Prep,2020,"15th Annual South Hills Classic13thApr 6, 2019"
577,129-11,AIDEN SHAYSelinsgrove,2022,"Selinsgrove at Shikellamy4thMay 7, 2019"
578,129-10,DEREK YINGLINGWest Branch,2019,"West Branch vs St. Joes vs Philipsburg-Osceola2ndApr 18, 2019"
578,129-10,ARTHUR SCHMIDTEmmaus,2020,"Emmaus @ Parkland4thApr 29, 2019"
578,129-10,GARRETT AMMONSMercersburg Academy,2019,"MAPL Outdoor Championship7thMay 11, 2019"
578,129-10,JAME HOSEPennsbury,2019,"Bensalem Invitational9thApr 13, 2019"
578,129-10,DESTYN SNYDERPottstown,2019,"Pioneer Athletic Conference Championship12thMay 10, 2019 - May 11, 2019"
578,129-10,ISAIAH MORSEKane Area,2021,"West Middlesex Invitational14thApr 6, 2019"
578,129-10,JOSHUA NIEVESWilliam Penn,2019,"31st New Balance Pan-Ram Invitational18thApr 13, 2019"
585,129-9,DILYN MABEYEast Stroudsburg Area South,2019,"East Stroudsburg South vs Pocono Mountain West4thMar 25, 2019"
585,129-9,JASON WALCKJim Thorpe Area,2020,"Blue Mountain vs. Jim Thorpe7thApr 29, 2019"
587,129-8,NICK DROUSEScranton,2019,"The Robert Spagna Championship13thMay 7, 2019"
587,129-8,JOEY GUNZENHAUSEREphrata,2022,"Blue Streak Relays17thMay 4, 2019"
589,129-7,NATHAN HOPETamaqua Area,2021,"American JavFest3rdJun 28, 2019 - Jun 30, 2019"
589,129-7,JOSEF BAUEREisenhower,2019,"Coudersport Sports Booster Invitational7thMay 3, 2019"
589,129-7,DAN WILLIAMSNortheast Bradford,2021,"Northern Tier League School Championships7thMay 10, 2019"
592,129-6,COY JOHNSONMontgomery High School,2019,"Meadowbrook Christian @ Montgomery Area1stApr 25, 2019"
593,129-5,COOPER FREEMANWilson Area (11),2021,"Catasauqya @ Wilson Area1stApr 25, 2019"
593,129-5,NICK DIMIDOCoatesville,2020,"Coatesville vs Downingtown West3rdApr 30, 2019"
593,129-5,COOPER KOZMACentral Columbia,2020,"Loyalsock Twp. @ Central Columbia4thApr 10, 2019"
593,129-5,AHREN STAUFFERCentral Dauphin,2022,"Central Dauphin vs Cumberland Valley4thMay 7, 2019"
593,129-5,JOHNY FRANCOISEast Stroudsburg Area North,2021,"Cavalier Invitational7thApr 30, 2019"
593,129-5,JOHNATHAN PHILLIPSEast Juniata,2020,"Tri-Valley League Championships8thMay 8, 2019"
599,129-4,BROCK EVERTMount Carmel Area,2020,"Southern Columbia at Mount Carmel Area3rdApr 16, 2019"
599,129-4,ZANE ZLOCKIEMount Carmel Area,2021,"Jim Taylor High School Classic (formerly Susq.HS Classic)14thApr 13, 2019"
601,129-3,SAMUEL PENNINGTONClearfield Area,2019,"Huntingdon vs. Clearfield1stApr 16, 2019"
601,129-3,NATHAN BLAUSERBradford Area,2019,"PIAA District 9 AAA and AA Championship5thMay 17, 2019"
601,129-3,JACOB MESNARMars Area,2020,"Pine-Richland Invitational27thMay 3, 2019"
604,129-2,DAN BALLARDCouncil Rock North,2020,"Neshaminy Invitational7thMay 4, 2019"
605,129-1,TODD SHAPPELLBlue Mountain,2020,"Blue Mountain @ North Schuylkill8thMar 27, 2019"
605,129-1,BRYCE VANFLEETLackawanna Trail,2019,"PIAA District 2 AA Championship13thMay 15, 2019"
607,128-11,SUHAIL TARAZIWest Chester Henderson,2019,"West Chester East vs. Henderson and DTW2ndApr 3, 2019"
607,128-11,GUNNAR VALENTINEGreencastle-Antrim,2020,"Antrim Way Honda Rt. 16 Last Chance Invite4thMay 6, 2019"
607,128-11,COIT HOLBROOKCrestwood,2019,"PIAA District 2 AAA Championship23rdMay 16, 2019"
610,128-10,TOMMY CHRISTIEAmbler Olympic Club,2021,"AAU Region-02 National Qualifier1stJun 28, 2019 - Jun 30, 2019"
610,128-10,DEVIN THOMASNorthwestern Lehigh,2019,"Catasauqua and Northwestern Lehigh at Northern Lehigh2ndMar 26, 2019"
610,128-10,BRODY MUNIZPalmerton Area,2021,"NDGP @ Palmerton4thApr 4, 2019"
613,128-9,CALEB KINNEYPunxsutawney Area,2020,"21st Demans Team Sports Brookville Invitational11thApr 13, 2019"
614,128-8,JARED KURTZBig Spring,2019,"Mid Penn Championship26thMay 11, 2019"
615,128-7,DYLAN PHILLIPSBradford Area,2019,"PIAA District 9 AAA and AA Championship6thMay 17, 2019"
615,128-7,ZACH ZINGERWarren Area,2020,"21st Demans Team Sports Brookville Invitational12thApr 13, 2019"
617,128-6,JOSH PLOENERKennett,2019,"American Division Open2ndMay 1, 2019"
617,128-6,DEREK KLASSBoyertown,2020,"Pioneer Athletic Conference Championship13thMay 10, 2019 - May 11, 2019"
619,128-5,DUY TRANBishop McDevitt,2019,"PCL Boys Meet #5 - LaSalle3rdApr 29, 2019"
620,128-4,KLAY SLIFERCentral Bucks East,2021,"Helman Memorial Invitational7thMay 2, 2019"
620,128-4,AHMAD WYATTPleasant Valley High School,2020,"Red & Black Invitational20thApr 18, 2019"
622,128-3,ANGAD BHULLARCumberland Valley,2019,"Carlisle vs Cumberland Valley7thApr 23, 2019"
623,128-2,MICHAEL DAVISLaSalle College High School,2021,"PIAA District 12 AAA Championships7thMay 15, 2019 - May 16, 2019"
624,128-1,LOGAN SIGNORTroy,2020,"Troy, Williamson, and Wyalusing3rdMar 26, 2019"
624,128-1,JAMES AMODEIGrove City Area,2021,"15th Annual South Hills Classic15thApr 6, 2019"
626,128-0,NOAH WALTERJames Buchanan,2019,"Antrim Way Honda Rt. 16 Last Chance Invite5thMay 6, 2019"
627,127-11,TANNER BARNHARTHempfield Area (7),2021,"Lady Spartan/Wildcat Invitational13th PApr 13, 2019"
628,127-9,ALEC RAPPCocalico,2019,"Blue Streak Relays18thMay 4, 2019"
629,127-7,BOBBY YOSTSeneca,2022,"McDowell Junior Varsity Meet2ndMay 2, 2019"
629,127-7,EDWARD VICTORBrownsville Area,2019,"Section 6-AA Track & Field Championships6thApr 24, 2019"
629,127-7,ZAC KIEFERCranberry,2021,"21st Demans Team Sports Brookville Invitational13thApr 13, 2019"
632,127-6,THOMAS HETHERINGTONLewisburg Area,2020,"Loyalsock vs. Lewisburg3rdMar 26, 2019 - Mar 27, 2019"
632,127-6,WESLEY ENGELWilliamsport Area,2020,"Mifflinburg at Williamsport4thMay 7, 2019"
632,127-6,MAX RIESSStrath Haven,2021,"Haverford Invitational5thMar 30, 2019"
632,127-6,DWAYNE CAINELancaster Catholic,2019,"Lebanon-Lancaster League Championship19thMay 10, 2019 - May 11, 2019"
636,127-5,BRANDON FIRSTMercyhurst Preparatory,2019,"34th McDowell Invitational8thApr 27, 2019"
636,127-5,JOSH CONNORShippensburg,2019,"Tim Cook Memorial Invitational14thMar 30, 2019"
636,127-5,NATHANIEL MEDVITShenango,2019,"15th Annual South Hills Classic16thApr 6, 2019"
639,127-4,ETHAN SPANNNorth Penn,2022,"Knights Invitational6thApr 4, 2019"
639,127-4,NOLAN CREMIDaniel Boone,2020,"17th Annual Black Knight Invitational14thApr 13, 2019"
639,127-4,JOSHUA FIRLEINSolanco,2020,"Lebanon-Lancaster League Championship21stMay 10, 2019 - May 11, 2019"
642,127-3,ERIC TANZHaverford Township HS,2020,"Boys Delco Championship6thMay 2, 2019 - May 4, 2019"
642,127-3,ANDREW PRICESharon,2021,"Mercer County Track and Field Invitational18thMay 9, 2019"
644,127-2,MAXX HAMMONDDeer Lakes,2019,"Butler Invitational - 55th Annual30thApr 18, 2019"
645,127-0,BENJAMIN BENTZStroudsburg,2020,"Cavalier Invitational8thApr 30, 2019"
645,127-0,RILEY CORKLINTitusville,2019,"Oil Country Invitational12th PMay 4, 2019"
647,126-11.25,JAMESON BOGDANMidas Track Club,2021,"USATF Three Rivers Developmental Meet2ndJun 8, 2019"
648,126-11,ALEX DONCHAKShenandoah Valley,2020,"Shenandoah Valley @ Mahanoy2ndApr 24, 2019"
648,126-11,JIMMY MOONSerra Catholic,2019,"WPIAL Section 8 Championship5thApr 23, 2019"
648,126-11,MATT DUNHAMSheffield,2019,"North Tier League Invitational6thMay 10, 2019"
648,126-11,JOSEPH STERMERSayre Area,2019,"Athens Twin Rivers Invite7thApr 6, 2019"
648,126-11,ADAM BOUCHERUniontown Area,2022,"Lady Spartan/Wildcat Invitational14th PApr 13, 2019"
648,126-11,MATT MERRITTCentral Valley HS,2022,"15th Annual South Hills Classic17thApr 6, 2019"
654,126-10,ZACH BARNESMontoursville Area,2022,"PHAC North 9-10 Meet2ndMay 4, 2019"
654,126-10,BRYCE MULHOLLENSomerset Area,2022,"B. Carroll/C. Heights/Somerset4thMay 1, 2019"
654,126-10,JOSEPH GRABILLHollidaysburg Area,2021,"Hollidaysburg @ Altoona7thMay 7, 2019"
654,126-10,MATTHEW BAKERBlacklick Valley,2019,"Appalachian Invitational8thApr 13, 2019"
658,126-9,MATT WILLIAMSSaint Joseph's Catholic Academy,2021,"West Branch vs St. Joes vs Philipsburg-Osceola3rdApr 18, 2019"
658,126-9,VLADY SHEKMilton Area,2021,"PHAC North 9-10 Meet3rdMay 4, 2019"
658,126-9,ADAM BACHIKNorthern Cambria High School,2021,"Bellwood-Antis Invitational11thApr 29, 2019"
658,126-9,ZHIWEI ZHANGPalmyra,2020,"Mid Penn Championship28thMay 11, 2019"
662,126-8,ALEX BURRELLWellsboro Area,2020,"Northern Tier League School Championships9thMay 10, 2019"
663,126-7,SALVATORE BONSIGNORENazareth Area,2019,"Easton vs. Nazareth4thApr 29, 2019"
663,126-7,ELI TOTIVEEast Stroudsburg Area South,2020,"Cavalier Invitational9thApr 30, 2019"
665,126-5,ALEX ZICOLELLOLoyalsock Township,2020,"Loyalsock vs. Milton4thMay 7, 2019"
666,126-4,JOHN SCHOONOVERTowanda,2021,"Northeast Bradford, Towanda, and Wyalusing3rdMay 2, 2019"
667,126-3,NATHAN HOOVERBald Eagle Area,2020,"Mountain League Championships5thMay 7, 2019"
667,126-3,MIHI AUNST-IVANOFEGeorge Junior Republic HS,2019,"Mercer County Track and Field Invitational19thMay 9, 2019"
669,126-2,DALTON BALLCameron County,2020,"Coudersport Sports Booster Invitational9thMay 3, 2019"
670,126-1,HUNTER PACKARDMifflin County High School,2019,"Mifflin County vs Cumberland Valley2ndApr 2, 2019"
671,126-0,DAMIAN SUPLEE-PRINGLESRidley,2019,"Central League Individual Champs10thMay 8, 2019"
671,126-0,PEYTON DAVISWest Scranton,2021,"The Robert Spagna Championship14thMay 7, 2019"
671,126-0,RYAN HARDERTunkhannock,2021,"Red & Black Invitational24thApr 18, 2019"
674,125-11,CONNOR KARABINOSPenn Cambria,2021,"Bedford, Penn Cambria, Westmont-Hilltop6thMay 1, 2019"
674,125-11,AMMYN GREGORYGreater Nanticoke,2019,"Northwest Rangers Invitational11thApr 12, 2019"
676,125-10.5,TYLER SWANSONIroquois,2019,"Erie County Track & Field Classic8th PMay 9, 2019"
677,125-10,DORIAN HOAGLANDCatasauqua,2021,"Catasauqya @ Wilson Area2ndApr 25, 2019"
677,125-10,HAYDEN BARONBelle Vernon,2020,"Big South Championship6thApr 24, 2019"
679,125-9,THOMAS THOMPSONDelaware Valley,2020,"Wallenpaupack Ice Breaker Relays7thApr 13, 2019"
679,125-9,JEFF NORTONScranton,2019,"James Cross Wilkes-Barre Invite9thMay 4, 2019"
679,125-9,NICK CALLTroy,2019,"Coudersport Sports Booster Invitational10thMay 3, 2019"
682,125-8,JONATHAN DRAEGERButler,2020,"6th Annual Knoch Relays4thApr 6, 2019"
682,125-8,JOEL BENNETTWyalusing Valley Area,2020,"Northern Tier League School Championships10thMay 10, 2019"
682,125-8,CADE SKINNERTitusville,2019,"2019 Franklin Track & Field Invitational15th PApr 13, 2019"
685,125-7,RYAN WILLIAMSONUpper Dublin,2019,"Jim Kelly Invitational12thMar 30, 2019"
686,125-6,CORNELL KEMPSpringside Chestnut Hill Academy,2021,"PW Colonial Classic5thApr 6, 2019"
686,125-6,JOSIAH KEPHARTPhilipsburg-Osceola Area,2022,"Mountain League Championships6thMay 7, 2019"
688,125-5,THOMAS BIROSBerks Catholic,2019,"Fleetwood at Berks Catholic2ndApr 9, 2019"
688,125-5,RHYEL MILES-EUBANKSCoatesville,2022,"Coatesville vs Downingtown West4thApr 30, 2019"
688,125-5,ALEC CHENCentral Bucks South,2019,"Jim Kelly Invitational13thMar 30, 2019"
691,125-3,DANIEL LOGUEBishop Shanahan,2020,"Avon Grove vs. Bishop Shanahan1stApr 3, 2019"
691,125-3,ANDREW ARBANASButler,2020,"6th Annual Knoch Relays6thApr 6, 2019"
691,125-3,GIORGIO DIACOPOULOSFranklin Regional,2019,"Butler Invitational - 55th Annual34thApr 18, 2019"
694,125-2,CARNELL KEMPSpringside Chestnut Hill Academy,2020,"PA Independent School Athletic Association (PAISAA) Championship9thMay 18, 2019"
695,125-1,LIAM KIRWANHatboro Horsham,2020,"Springfield, Upper Dublin, Upper Moreland @ Hatboro Horsham1stApr 17, 2019"
695,125-1,CODY PALUBINSKYMahanoy Area,2019,"Mahanoy Area Vs Schuylkill Haven2ndApr 10, 2019"
695,125-1,BEN GILPATRICKPine-Richland,2022,"Pine-Richland Invitational31stMay 3, 2019"
698,125-0,JOSHUA KLEINDowningtown East,2019,"Downingtown East vs. Avon Grove vs. Downingtown West1stApr 10, 2019"
699,124-11,JACOB SIMMSMontoursville Area,2020,"Hughesville v. Montoursville2ndMay 2, 2019"
699,124-11,COLLIN JORDANDanville Area,2019,"Central Mountain vs Danville Area6thMay 7, 2019"
RANK,MARK,ATHLETE/TEAM,GRADE,MEET DATEPLACE
701,124-10,KHALIB DAVISMilts 4 Life Track Club,2020,"AAU Region-02 National Qualifier3rdJun 28, 2019 - Jun 30, 2019"
701,124-10,BEN GILLISPIESusquehannock,2020,"Ray Geesey Track and Field Invitational7thApr 26, 2019"
701,124-10,DYLAN GRACEBlue Mountain,2021,"Blue Mountain vs. Jim Thorpe8thApr 29, 2019"
701,124-10,DENNIS SAARCanton Area,2019,"Northern Tier League School Championships11thMay 10, 2019"
701,124-10,CAMERON GASHGreenville,2020,"West Middlesex Invitational16thApr 6, 2019"
701,124-10,MATTHEW AULICINOFreeport Area,2022,"Butler Invitational - 55th Annual35thApr 18, 2019"
707,124-9,BRADON BASTIANKarns City,2019,"Redbank Valley vs. Karns City4thMay 2, 2019"
707,124-9,DALTON SHEARERMilton Area,2019,"Loyalsock vs. Milton5thMay 7, 2019"
707,124-9,JAXON SCRUTCHINSGeneral McLane,2021,"15th Annual South Hills Classic19thApr 6, 2019"
707,124-9,ZACH WERNEREphrata,2019,"Lebanon-Lancaster League Championship22ndMay 10, 2019 - May 11, 2019"
711,124-8,JUSTIN ADAMSPottsgrove,2019,"Upper Merion vs Pottsgrove HS1stApr 17, 2019"
711,124-8,PATRICK LAFFERTYCentral Bucks West,2021,"SOL Continental Conference Championships9thMay 10, 2019 - May 11, 2019"
711,124-8,JACOB SABOLRichland,2021,"Laurel Highlands Athletic Conference Track & Field Championship15thMay 7, 2019"
714,124-7,BROGAN STREITEllwood City,2022,"Beaver County Championships6thApr 25, 2019 - Apr 28, 2019"
714,124-7,MITCHELL MASONReynolds,2022,"West Middlesex Invitational17thApr 6, 2019"
714,124-7,TREY SWEENEYGreater Latrobe,2019,"Lady Spartan/Wildcat Invitational17th PApr 13, 2019"
717,124-6,KEMUEL LAUDERMILCHWyalusing Valley Area,2020,"21st Annual Bald Eagle Invite4thApr 22, 2019"
717,124-6,GARRETT GUMBAREVICWaynesburg Central,2019,"WCHS vs WG, Brownsville Tri-Meet 4-11-195thApr 11, 2019"
717,124-6,PRESTON SIMMONSWarwick,2019,"17th Annual Black Knight Invitational15thApr 13, 2019"
720,124-5,TYLER YOUNGBLOODSouthern Fulton,2020,"ICC Championship Meet9thMay 6, 2019"
720,124-5,ZAKARIA LOUDINIFriends' Central,2019,"PA Independent School Athletic Association (PAISAA) Championship10thMay 18, 2019"
720,124-5,JOSHUA CRUZWallenpaupack,2020,"The Robert Spagna Championship15thMay 7, 2019"
723,124-4,ETHAN PEFFERButler,2022,"McDowell Junior Varsity Meet3rdMay 2, 2019"
723,124-4,RYAN DUFFYDaniel Boone,2019,"Oxenreider Relays10thMar 23, 2019"
723,124-4,ETHAN STROUPAltoona Area Junior Varsity,2022,"31st New Balance Pan-Ram Invitational19thApr 13, 2019"
726,124-2.5,COLBY DODSONNorthwest Area,2019,"Northwest Rangers Invitational12thApr 12, 2019"
727,124-1,JOSH HARTSOCKSusquehannock,2019,"YAIAA Track and Field League Championships16thMay 10, 2019"
728,124-0,LOUIE SEPEPennsbury,2019,"S.O.L. National Conference Championships6thMay 10, 2019 - May 11, 2019"
728,124-0,TOMMY KUBICKAPennsbury,2021,"S.O.L. National Conference Championships7thMay 10, 2019 - May 11, 2019"
728,124-0,ABE COUNTRYMANBerlin Brothersvalley,2021,"Appalachian Invitational9thApr 13, 2019"
728,124-0,CATO LEGASPIKiski Prep,2021,"Westmoreland County Coaches Association12th PApr 27, 2019"
728,124-0,TANNER KNIPEBethlehem Catholic,2019,"Cavalier Invitational13thApr 30, 2019"
733,123-11,MJ TERRYMahanoy Area,2019,"Mahanoy Area vs Weatherly1stApr 29, 2019"
733,123-11,GAVIN KINGBishop Shanahan,2021,"Henderson vs. DTE and Shanahan2ndApr 29, 2019"
733,123-11,TYLER KERRCanon-McMillan,2019,"Butler Invitational - 55th Annual36thApr 18, 2019"
736,123-10,TRISTAN MANGINCouncil Rock South,2022,"S.O.L. National Conference Championships8thMay 10, 2019 - May 11, 2019"
736,123-10,JAIZE ZIEGLARMohawk,2019,"MAC Meet12thApr 24, 2019"
738,123-9,MAX DILLMANLiberty,,"ACC @ Liberty5thApr 23, 2019"
738,123-9,JESSE HERRONBelle Vernon,2019,"Big South Championship7thApr 24, 2019"
738,123-9,ISAAC BITTNERBerlin Brothersvalley,2020,"PIAA District V Championship Meet7thMay 15, 2019"
741,123-8,KAI LUDWIGState College Area High School,2020,"Harrisburg @ State College2ndMay 7, 2019"
741,123-8,CYNCERE BROWNGettysburg Area High School,2021,"Adams County Track & Field Classic4thApr 5, 2019"
741,123-8,JOSH SHOEMAKERGarnet Valley,2019,"Boys Delco Championship9thMay 2, 2019 - May 4, 2019"
741,123-8,MIKE SCHAALFort Cherry,2019,"Rock Relays18thApr 20, 2019"
745,123-7,BEN LERCHPalisades,2019,"NW Lehigh, Salisbury @ Palisades4thApr 30, 2019"
745,123-7,JOEY WALBERTParkland,2020,"Emmaus @ Parkland5thApr 29, 2019"
745,123-7,NICK KOBIELUSWest Middlesex,2021,"West Middlesex Invitational18thApr 6, 2019"
748,123-6,COLE MURRAYMasterman,2019,"PIAA District 12 AA Championships5thMay 15, 2019 - May 16, 2019"
748,123-6,SAM CARLSONHershey,2019,"Blue Jay High School Invitational11thApr 20, 2019"
748,123-6,IDIS MARTINGeorge Junior Republic HS,2019,"Oil Country Invitational13th PMay 4, 2019"
